COUNTRY_CODE,ORIGINAL_CHANNEL,LOCAL_CHANNEL,CHANNEL_USAGE,SOCIAL_COMMERCIAL,STRATEGIC_CHANNEL,GLOBAL_CHANNEL,GLOBAL_SUBCHANNEL
ID,jualan kue online,Bakery,Key,-1
ID,Warung es dan kue,Bakery,Key,-1
ID,Home cake n cookie,Bakery,Key,-1
ID,Masakan/Kue by order,Bakery,Key,-1
ID,Restaurant and bakery,Bakery,Key,-1
ID,Cake online dan kursus,Bakery,Key,-1
ID,Kue kering dan kue basah,Bakery,Key,-1
ID,Homemade cake and cookies,Bakery,Key,-1
ID,Online baking and cooking,Bakery,Key,-1
IT,self service,Bar,Key,-1
ID,oleh oleh dan minuman khas,Bakery,Key,-1
ID,Terima pesanan puding dan cake,Bakery,Key,-1
ID,Usaha rumahan pre order bakery,Bakery,Key,-1
ID,"bisnis coklat, masakan via order",Bakery,Key,-1
ID,Bakery rumahan dan kantin sekolah,Bakery,Key,-1
ID,"Pembuatan cake, cookies dan pudding",Bakery,Key,-1
ID,Jual kue bolu dan kue kering rumahan,Bakery,Key,-1
ID,"Cookies, cake n snack.. Made by order",Bakery,Key,-1
MY,Bakery,Bakery,Key,-1
MY,CB-BAKERY,Bakery,Key,-1
MY,Bakeri,Bakery,Key,-1
TH,??????????????????????/?????????????,Bakery,Key,-1
TH,Bakery,Bakery,Key,-1
TH,?????????????????????????,Bakery,Key,-1
TH,????????????,Bakery,Key,-1
TH,Bakery Operator (Make to Order/No Store),Bakery,Key,-1
TH,??????????????????????????,Bakery,Key,-1
TH,Bakery Part-Time Job,Bakery,Key,-1
TH,????????????????????,Bakery,Key,-1
TH,????????????????,Bakery,Key,-1
TH,??????/??????????????????????,Bakery,Key,-1
TH,qsrs_bakeries,Bakery,Key,-1
TH,Restaurant & Bakery,Bakery,Key,-1
TH,Bakery Factory,Bakery,Key,-1
TH,????????????????,Bakery,Key,-1
TH,Bakery Operator,Bakery,Key,-1
TH,????????????????,Bakery,Key,-1
TH,??????/??????????????????,Bakery,Key,-1
TH,Bakery School,Bakery,Key,-1
TH,??????????????????????,Bakery,Key,-1
TH,??????/??????????,Bakery,Key,-1
TH,???????????????????,Bakery,Key,-1
TH,????????????????,Bakery,Key,-1
TH,??????/??????????,Bakery,Key,-1
TH,Bakery Company/Factory/Chains,Bakery,Key,-1
TH,??????????????????,Bakery,Key,-1
TH,??????????????????,Bakery,Key,-1
TH,????bakery ?????? ?????????? ??????????,Bakery,Key,-1
ZA,Instore Bakery,Bakery,Non Key,-1
ZA,Bakery / Deli,Bakery,Non Key,-1
ZA,Baker,Bakery,Non Key,-1
ZA,BAKERY,Bakery,Non Key,-1
ZA,baking,Bakery,Non Key,-1
ZA,Bakery /Deli,Bakery,Non Key,-1
ZA,Bakery/ Deli,Bakery,Non Key,-1
AT,Cafe/Eiscafe,Bakery & Cafe,Non Key,-1
AT,Snack Bar / Take Away,Bakery & Cafe,Non Key,-1
AT,pubs-bars-coffee-tea-shops_bakeries,Bakery & Cafe,Non Key,-1
AT,pubs-bars-coffee-tea-shops_delis,Bakery & Cafe,Non Key,-1
AT,Snack/Imbiss,Bakery & Cafe,Non Key,-1
AT,Bäckerei/Konditorei,Bakery & Cafe,Non Key,-1
AT,pubs-bars-coffee-tea-shops_pubs,Bakery & Cafe,Non Key,-1
AT,Café,Bakery & Cafe,Non Key,-1
AT,Konditore,Bakery & Cafe,Non Key,-1
AT,Coffeeshop,Bakery & Cafe,Non Key,-1
AT,Fast Food & Café,Bakery & Cafe,Non Key,-1
AT,"Pubs, Bars, Coffee and Tea Shops",Bakery & Cafe,Non Key,-1
AT,"Konditorei, Chocolaterie, Lebzelterei, Catering",Bakery & Cafe,Non Key,-1
CH,Cafe/Eiscafe,Bakery & Cafe,Non Key,-1
CH,Snack/Imbiss,Bakery & Cafe,Non Key,-1
CH,Bäckerei,Bakery & Cafe,Non Key,-1
CH,Bistro,Bakery & Cafe,Non Key,-1
CH,pubs-bars-coffee-tea-shops_bakeries,Bakery & Cafe,Non Key,-1
CH,pubs-bars-coffee-tea-shops_delis,Bakery & Cafe,Non Key,-1
CH,Café - Café,Bakery & Cafe,Non Key,-1
CH,Snack Bar / Take Away,Bakery & Cafe,Non Key,-1
CH,Bäckerei/Konditorei,Bakery & Cafe,Non Key,-1
CH,Boulangerie,Bakery & Cafe,Non Key,-1
CH,Cafeteria/Imbiss,Bakery & Cafe,Non Key,-1
CH,Boucherie,Bakery & Cafe,Non Key,-1
CH,Coffeeshop,Bakery & Cafe,Non Key,-1
DE,Snack Bar / Take Away,Bakery & Cafe,Non Key,-1
DE,pubs-bars-coffee-tea-shops_delis,Bakery & Cafe,Non Key,-1
DE,pubs-bars-coffee-tea-shops_bakeries,Bakery & Cafe,Non Key,-1
DE,Cafe/Eiscafe,Bakery & Cafe,Non Key,-1
DE,Snack Bars/Take Aways,Bakery & Cafe,Non Key,-1
DE,Bistro,Bakery & Cafe,Non Key,-1
DE,Snack/Imbiss,Bakery & Cafe,Non Key,-1
DE,Bäckerei/Konditorei,Bakery & Cafe,Non Key,-1
DE,Bakeries,Bakery & Cafe,Non Key,-1
DE,Coffeeshop,Bakery & Cafe,Non Key,-1
DE,Fast Food & Café,Bakery & Cafe,Non Key,-1
DE,pubs-bars-coffee-tea-shops_pubs,Bakery & Cafe,Non Key,-1
IL,?????? ??????,Banquet Halls,Key,-1
IL,?????? ???????,Banquet Halls,Key,-1
IL,????????,Banquet Halls,Key,-1
IL,???? ???????,Banquet Halls,Key,-1
IL,???? /???????? ????????,Banquet Halls,Key,-1
IT,BAR,Bar,Key,-1
IT,pub,Bar,Key,-1
IT,bar-ristorante,Bar,Key,-1
IT,gastronomia,Bar,Key,-1
IT,risto-bar,Bar,Key,-1
IT,Ristorazione veloce,Bar,Key,-1
IT,pubs-bars-coffee-tea-shops_bar,Bar,Key,-1
IT,qsrs_gastonomy,Bar,Key,-1
IT,stabilimento balneare,Bar,Key,-1
IT,PANINOTECA,Bar,Key,-1
IT,bar-tavola calda,Bar,Key,-1
IT,SELF-SERVICE,Bar,Key,-1
IT,mensa ospedale,Bar,Key,-1
IT,qsrs_sandwhich,Bar,Key,-1
IT,ristorante-bar,Bar,Key,-1
