salesOrg;country
1611;CH
1600;AT
5200;SE
1020;ES
2070;BG
1160;IE
5230;NO
2050;SK
3100;GB
5210;DK
1900;GR
5100;NL
1700;IT
1300;DE
2080;RS
2060;RO
2040;CZ
1030;BE
1410;FR
5220;FI
2010;HU
4050;PL
99991231;WORLD

